title,price,image,link,reviews,stars,id
"null","SAR 1,499.00","https://m.media-amazon.com/images/I/71ykElXNMdL._AC_UL320_.jpg","https://www.amazon.sa/-/en/CHUWI-GemiBook-Pro-2160x1440-Resolution/dp/B08HCFKCSC/ref=sr_1_31?qid=1675263934&s=electronics&sr=1-31","4.1 out of 5 stars 140","4.1 out of 5 stars","B08HCFKCSC"
"null","SAR 5,499.00","https://m.media-amazon.com/images/I/61L5QgPvgqL._AC_UL320_.jpg","https://www.amazon.sa/-/en/2022-Apple-MacBook-laptop-M2/dp/B0B3BW8VTS/ref=sr_1_32?qid=1675263934&s=electronics&sr=1-32","4.3 out of 5 stars 37","4.3 out of 5 stars","B0B3BW8VTS"
"null","SAR 1,871.52","https://m.media-amazon.com/images/I/71kgQFZbyaL._AC_UL320_.jpg","https://www.amazon.sa/-/en/SGIN-Windows-Laptops-Graphics-Bluetooth/dp/B0B74JGNSG/ref=sr_1_33?qid=1675263934&s=electronics&sr=1-33","4.6 out of 5 stars 644","4.6 out of 5 stars","B0B74JGNSG"
"null","SAR 3,299.00","https://m.media-amazon.com/images/I/71GDSR-EBCL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-Pavilion-15-dk2012nx-GeForce%C2%AE-5C1R7EA/dp/B0B9ZLC7H6/ref=sr_1_34?qid=1675263934&s=electronics&sr=1-34","null","null","B0B9ZLC7H6"
"null","SAR 3,659.14","https://m.media-amazon.com/images/I/51ns3Uw0lHL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-IdeaPad-Laptop-Ryzen-5700U/dp/B0BM552LZG/ref=sr_1_35?qid=1675263934&s=electronics&sr=1-35","null","Only 1 left in stock - order soon.","B0BM552LZG"
"null","SAR 5,601.51","https://m.media-amazon.com/images/I/717x-CIsqvL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-ThinkPad-2160x1350-Ultrabook-i7-1160G7/dp/B0BN7QB9Y8/ref=sr_1_36?qid=1675263934&s=electronics&sr=1-36","null","null","B0BN7QB9Y8"
"null","SAR 4,985.55","https://m.media-amazon.com/images/I/71AGOX9MORL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-Display-i7-12650H-Thunderbolt-FX517ZM-AS73/dp/B09RMH9B6F/ref=sr_1_37?qid=1675263934&s=electronics&sr=1-37","4.5 out of 5 stars 2,029","4.5 out of 5 stars","B09RMH9B6F"
"null","null","null","null","null","null",""
"null","SAR 1,798.50","https://m.media-amazon.com/images/I/61gkrlarhjL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-240-G8-Notebook-Integrated/dp/B09J5FQVGK/ref=sr_1_38?qid=1675263934&s=electronics&sr=1-38","null","Only 1 left in stock - order soon.","B09J5FQVGK"
"null","SAR 10,086.98","https://m.media-amazon.com/images/I/81LYOarIgxL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-en1001ne-processor-Graphics-38U49EA/dp/B09RB9VYYY/ref=sr_1_39?qid=1675263934&s=electronics&sr=1-39","5.0 out of 5 stars 2","5.0 out of 5 stars","B09RB9VYYY"
"null","SAR 4,377.87","https://m.media-amazon.com/images/I/51Unta4+EUL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfbXRmX2Jyb3dzZToyMDAxODMzODY0ODU5ODo6MDo6&url=%2FNotebook-i7-7500U-Windows10-Fingerprint-Recognize%2Fdp%2FB09LQYJGZM%2Fref%3Dsr_1_40_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-40-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1","1.0 out of 5 stars 1","1.0 out of 5 stars","B09LQYJGZM"
